Registration Number,Specialization,Branch,Last Semester,Attendance (%),CGPA,Semester GPA (Target),Backlogs,Midterm Scores (out of 50),"Grades (S, A, B, C, D, E, F, N)",Study Hours/Day,Club Membership,Club Hours/Week,Leadership Role,Sleep Hours/Day,Stress Level,Predicted Semester GPA
23BAI10752,CSE AI/ML,B.Tech,4,72,7.8,8.34,0,"29, 17, 8, 44, 41","['S', 'C', 'B', 'S', 'S', 'B', 'N', 'C', 'A', 'S', 'A', 'A', 'B', 'N', 'A', 'A', 'B', 'B']",3.3,Yes,6.1,Yes,7.8,4,7.35
23BAI10753,CSE AI/ML,B.Tech,4,66,7.89,8.56,0,"26, 25, 7, 9, 24","['S', 'A', 'N', 'B', 'E', 'A', 'A', 'S', 'A', 'C', 'S', 'C', 'S', 'C', 'A', 'A', 'S', 'B']",5,No,0,No,8.6,5,6.74
23BAI10754,CSE AI/ML,B.Tech,4,67,6.37,6.67,3,"31, 33, 37, 36, 21","['E', 'F', 'A', 'A', 'B', 'B', 'S', 'F', 'S', 'N', 'B', 'S', 'S', 'A', 'F', 'D', 'S', 'C']",4.6,No,0,No,7.6,5,4.95
23BAI10755,CSE AI/ML,B.Tech,4,71,8.24,8.9,0,"36, 32, 21, 20, 3","['A', 'D', 'S', 'S', 'A', 'A', 'N', 'S', 'B', 'A', 'B', 'B', 'S', 'S', 'A', 'S', 'A', 'A']",4.2,Yes,3.1,No,6.7,5,7.13
23BAI10756,CSE AI/ML,B.Tech,4,70,7.44,7.72,0,"43, 18, 42, 30, 13","['N', 'B', 'A', 'A', 'B', 'C', 'S', 'A', 'A', 'N', 'S', 'A', 'A', 'B', 'B', 'A', 'S', 'B']",3.2,Yes,4.4,Yes,7,3,7.4
23BAI10757,CSE AI/ML,B.Tech,4,75,8.7,9.5,1,"50, 34, 28, 12, 25","['A', 'S', 'A', 'S', 'S', 'E', 'B', 'A', 'A', 'C', 'A', 'B', 'B', 'S', 'S', 'S', 'A', 'F']",4,No,0,No,7.2,3,7.49
23BAI10758,CSE AI/ML,B.Tech,4,65,8.07,8.76,1,"50, 47, 41, 35, 16","['S', 'C', 'S', 'C', 'S', 'S', 'B', 'B', 'C', 'F', 'S', 'S', 'S', 'A', 'S', 'N', 'S', 'B']",3.5,Yes,6.7,Yes,6.6,5,7.23
23BAI10759,CSE AI/ML,B.Tech,4,95,8.48,9.03,0,"11, 16, 38, 43, 4","['S', 'S', 'D', 'A', 'B', 'S', 'A', 'C', 'B', 'B', 'S', 'B', 'A', 'A', 'E', 'S', 'B', 'B']",5,No,0,No,8.1,2,8.16
23BAI10760,CSE AI/ML,B.Tech,4,66,6.7,7.33,0,"13, 16, 38, 37, 44","['N', 'A', 'A', 'S', 'S', 'D', 'D', 'E', 'S', 'N', 'D', 'B', 'A', 'B', 'E', 'A', 'C', 'S']",4.5,Yes,7.8,No,7.3,5,7
23BAI10761,CSE AI/ML,B.Tech,4,73,7.09,7.1,1,"27, 35, 11, 15, 45","['A', 'A', 'S', 'N', 'S', 'A', 'S', 'E', 'N', 'D', 'A', 'B', 'S', 'S', 'F', 'S', 'S', 'A']",3.5,No,0,No,7.5,3,6.48
23BAI10762,CSE AI/ML,B.Tech,4,78,8.2,8.77,1,"12, 35, 47, 11, 42","['B', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'S', 'B', 'D', 'C', 'S', 'F', 'S', 'A', 'A']",5.9,No,0,No,8.5,5,7.3
23BAI10763,CSE AI/ML,B.Tech,4,66,7.3,7.51,1,"15, 26, 42, 19, 35","['S', 'S', 'N', 'S', 'A', 'C', 'A', 'A', 'C', 'B', 'B', 'B', 'N', 'A', 'D', 'F', 'N', 'B']",3.7,No,0,No,6.8,3,6.55
23BAI10764,CSE AI/ML,B.Tech,4,80,7.81,8.21,2,"25, 29, 46, 46, 45","['A', 'S', 'B', 'S', 'D', 'B', 'B', 'A', 'S', 'A', 'F', 'A', 'F', 'E', 'S', 'B', 'A', 'S']",3.3,Yes,2.6,Yes,7.2,4,6.83
23BAI10765,CSE AI/ML,B.Tech,4,67,7.31,7.86,0,"28, 26, 13, 31, 50","['N', 'A', 'A', 'S', 'A', 'B', 'N', 'A', 'B', 'A', 'E', 'D', 'S', 'S', 'S', 'B', 'S', 'B']",4.9,Yes,4.1,Yes,7.4,4,7.51
23BAI10766,CSE AI/ML,B.Tech,4,68,6.44,7.95,2,"7, 26, 11, 12, 13","['S', 'N', 'E', 'D', 'F', 'S', 'A', 'A', 'C', 'F', 'S', 'S', 'A', 'B', 'A', 'E', 'C', 'S']",3.3,No,0,No,7.7,3,4.48
23BAI10767,CSE AI/ML,B.Tech,4,93,8.41,8.64,0,"33, 5, 27, 45, 42","['A', 'A', 'B', 'B', 'S', 'A', 'A', 'S', 'C', 'E', 'A', 'A', 'E', 'A', 'B', 'S', 'S', 'A']",5.2,No,0,No,7.3,4,8.47
23BAI10768,CSE AI/ML,B.Tech,4,71,6.41,6.44,2,"29, 3, 50, 18, 37","['B', 'N', 'B', 'A', 'F', 'F', 'A', 'B', 'S', 'C', 'S', 'C', 'S', 'E', 'D', 'C', 'S', 'A']",5.9,Yes,3.8,Yes,7.2,3,5.95
23BAI10769,CSE AI/ML,B.Tech,4,84,8.67,8.89,0,"17, 36, 13, 11, 26","['A', 'A', 'A', 'B', 'D', 'S', 'S', 'A', 'B', 'S', 'C', 'A', 'A', 'S', 'B', 'C', 'C', 'S']",5.5,Yes,4.8,Yes,8,4,7.77
23BAI10770,CSE AI/ML,B.Tech,4,74,8.04,8.98,1,"39, 37, 24, 42, 40","['S', 'C', 'S', 'B', 'S', 'S', 'C', 'A', 'B', 'E', 'D', 'S', 'S', 'D', 'A', 'N', 'F', 'A']",3.2,Yes,7.5,Yes,7,3,7.52
23BAI10771,CSE AI/ML,B.Tech,4,69,7.33,7.64,0,"9, 46, 32, 31, 41","['A', 'A', 'B', 'C', 'C', 'B', 'D', 'N', 'C', 'D', 'A', 'S', 'S', 'B', 'A', 'S', 'C', 'B']",5.4,No,0,No,8.9,4,7.79
23BAI10772,CSE AI/ML,B.Tech,4,69,7.69,8.03,0,"43, 11, 3, 5, 7","['N', 'A', 'S', 'A', 'E', 'A', 'B', 'C', 'A', 'C', 'S', 'A', 'A', 'C', 'S', 'E', 'A', 'A']",3.6,No,0,No,6.7,5,6.14
23BAI10773,CSE AI/ML,B.Tech,4,91,7.7,7.93,1,"13, 6, 46, 35, 35","['A', 'S', 'B', 'F', 'D', 'D', 'C', 'S', 'S', 'A', 'B', 'A', 'B', 'A', 'B', 'C', 'B', 'S']",5.8,No,0,No,8.6,5,7.12
23BAI10774,CSE AI/ML,B.Tech,4,69,6.44,7.02,3,"47, 22, 39, 22, 36","['N', 'A', 'E', 'A', 'F', 'A', 'B', 'F', 'S', 'S', 'B', 'A', 'A', 'F', 'S', 'A', 'S', 'D']",4.5,No,0,No,7.5,5,5.11
23BAI10775,CSE AI/ML,B.Tech,4,68,7.2,7.89,1,"23, 9, 18, 34, 38","['F', 'N', 'A', 'A', 'S', 'C', 'B', 'A', 'C', 'B', 'A', 'S', 'B', 'B', 'C', 'A', 'A', 'A']",4.9,Yes,2.3,Yes,7.8,3,6.55
23BAI10776,CSE AI/ML,B.Tech,4,72,8.5,9.41,0,"13, 50, 31, 44, 36","['S', 'A', 'B', 'A', 'D', 'S', 'A', 'C', 'A', 'S', 'A', 'A', 'S', 'D', 'B', 'A', 'N', 'A']",3.9,No,0,No,6.5,5,8.08
23BAI10777,CSE AI/ML,B.Tech,4,74,7.67,8.26,1,"12, 5, 24, 34, 46","['S', 'S', 'A', 'C', 'A', 'A', 'A', 'B', 'F', 'A', 'S', 'E', 'E', 'B', 'B', 'C', 'N', 'A']",4.5,No,0,No,8.7,3,6.75
23BAI10778,CSE AI/ML,B.Tech,4,85,7.83,8.2,1,"22, 4, 10, 43, 27","['B', 'A', 'B', 'D', 'S', 'A', 'A', 'D', 'B', 'C', 'S', 'A', 'F', 'A', 'E', 'S', 'B', 'B']",5.3,Yes,2.8,Yes,8.1,4,6.77
23BAI10779,CSE AI/ML,B.Tech,4,69,5.85,7.11,2,"13, 26, 28, 37, 42","['C', 'B', 'S', 'E', 'F', 'N', 'F', 'E', 'A', 'A', 'B', 'A', 'N', 'C', 'S', 'A', 'S', 'C']",3.9,Yes,3.9,No,8.8,3,5.49
23BAI10780,CSE AI/ML,B.Tech,4,66,7,7.87,1,"7, 17, 44, 16, 39","['B', 'S', 'S', 'D', 'N', 'F', 'A', 'A', 'E', 'A', 'E', 'A', 'S', 'S', 'C', 'S', 'B', 'E']",4.2,Yes,5,Yes,7.7,3,6.33
23BAI10781,CSE AI/ML,B.Tech,4,74,5.87,6.27,2,"20, 14, 5, 42, 48","['A', 'C', 'F', 'N', 'N', 'S', 'C', 'A', 'S', 'F', 'A', 'A', 'C', 'E', 'C', 'A', 'B', 'S']",4.9,Yes,2.9,Yes,6.7,3,5.51
23BAI10782,CSE AI/ML,B.Tech,4,66,8.24,8.48,0,"35, 6, 42, 28, 23","['C', 'E', 'S', 'N', 'S', 'A', 'S', 'S', 'S', 'A', 'S', 'B', 'A', 'A', 'B', 'S', 'A', 'S']",4.1,Yes,3.1,Yes,7.5,5,7.35
23BAI10783,CSE AI/ML,B.Tech,4,83,8.44,8.81,1,"47, 18, 50, 25, 26","['F', 'D', 'S', 'S', 'S', 'C', 'S', 'A', 'S', 'A', 'S', 'S', 'A', 'S', 'A', 'C', 'A', 'A']",3.6,No,0,No,7.9,3,7.68
23BAI10784,CSE AI/ML,B.Tech,4,71,8,8.55,1,"11, 21, 29, 42, 33","['A', 'F', 'B', 'S', 'A', 'A', 'B', 'B', 'B', 'A', 'S', 'B', 'S', 'A', 'A', 'S', 'N', 'S']",3.1,Yes,5.2,Yes,7.4,3,6.77
23BAI10785,CSE AI/ML,B.Tech,4,75,8.7,9.35,1,"3, 15, 47, 6, 27","['S', 'S', 'A', 'B', 'S', 'B', 'S', 'A', 'D', 'A', 'D', 'S', 'A', 'C', 'A', 'C', 'A', 'F']",5.5,No,0,No,6.6,4,6.87
23BAI10786,CSE AI/ML,B.Tech,4,73,7.17,7.8,0,"12, 25, 45, 32, 16","['B', 'A', 'B', 'B', 'N', 'B', 'A', 'E', 'E', 'B', 'A', 'D', 'C', 'S', 'S', 'A', 'C', 'D']",5.8,Yes,3.4,No,7.2,3,7.57
23BAI10787,CSE AI/ML,B.Tech,4,69,8.31,8.95,0,"34, 32, 7, 47, 17","['A', 'S', 'D', 'B', 'B', 'B', 'A', 'S', 'A', 'S', 'D', 'A', 'C', 'S', 'D', 'S', 'N', 'A']",3.7,No,0,No,7.6,4,7.57
23BAI10788,CSE AI/ML,B.Tech,4,91,7.94,8.44,2,"19, 50, 35, 14, 27","['E', 'D', 'A', 'S', 'B', 'A', 'A', 'B', 'A', 'S', 'B', 'A', 'F', 'D', 'A', 'B', 'B', 'F']",5.9,No,0,No,8.6,4,6.85
23BAI10789,CSE AI/ML,B.Tech,4,70,7.67,8.59,1,"21, 25, 41, 7, 42","['S', 'S', 'S', 'B', 'S', 'B', 'F', 'B', 'B', 'A', 'N', 'A', 'B', 'E', 'A', 'S', 'A', 'D']",4.6,Yes,3,No,8.2,5,6.6
23BAI10790,CSE AI/ML,B.Tech,4,76,8.72,9.63,0,"23, 38, 16, 8, 21","['D', 'B', 'S', 'A', 'S', 'S', 'S', 'B', 'A', 'B', 'E', 'A', 'S', 'S', 'A', 'S', 'A', 'S']",4.6,Yes,3.7,No,7,2,7.8
23BAI10791,CSE AI/ML,B.Tech,4,91,8.94,9.33,0,"6, 26, 28, 44, 21","['S', 'C', 'A', 'C', 'S', 'S', 'S', 'S', 'S', 'A', 'B', 'E', 'S', 'S', 'S', 'C', 'A', 'S']",3.1,Yes,5.4,No,6.7,3,8.01
23BAI10792,CSE AI/ML,B.Tech,4,90,8.06,8.44,1,"34, 44, 47, 37, 42","['A', 'B', 'A', 'C', 'S', 'A', 'A', 'A', 'F', 'S', 'B', 'B', 'C', 'B', 'S', 'B', 'A', 'A']",3.4,Yes,4.7,Yes,7.7,5,7.82
23BAI10793,CSE AI/ML,B.Tech,4,69,6.28,7.1,1,"44, 4, 35, 12, 47","['S', 'N', 'A', 'S', 'A', 'D', 'A', 'N', 'A', 'N', 'E', 'D', 'F', 'S', 'S', 'A', 'A', 'A']",4.9,Yes,7.7,Yes,6.8,5,6.16
23BAI10794,CSE AI/ML,B.Tech,4,74,6.94,7.29,1,"35, 25, 36, 44, 38","['B', 'B', 'A', 'F', 'C', 'A', 'S', 'C', 'N', 'A', 'B', 'C', 'B', 'B', 'S', 'S', 'N', 'A']",4.2,No,0,No,7.8,3,7.23
23BAI10795,CSE AI/ML,B.Tech,4,72,8.22,8.87,0,"32, 41, 7, 23, 18","['C', 'S', 'A', 'B', 'A', 'S', 'A', 'D', 'S', 'N', 'S', 'S', 'A', 'C', 'S', 'S', 'S', 'N']",5,No,0,No,7.8,5,7.4
23BAI10796,CSE AI/ML,B.Tech,4,72,7.48,8.47,1,"9, 11, 43, 45, 26","['A', 'B', 'B', 'C', 'B', 'S', 'N', 'S', 'S', 'D', 'S', 'F', 'A', 'A', 'B', 'S', 'B', 'C']",5.1,No,0,No,7.8,4,6.79
23BAI10797,CSE AI/ML,B.Tech,4,74,7.52,7.93,1,"28, 34, 45, 29, 43","['A', 'B', 'B', 'A', 'A', 'A', 'S', 'F', 'A', 'N', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'D']",3.3,Yes,7,Yes,7.9,3,7.29
23BAI10798,CSE AI/ML,B.Tech,4,78,7.5,7.88,2,"21, 10, 39, 8, 21","['C', 'A', 'B', 'A', 'B', 'F', 'S', 'F', 'A', 'S', 'S', 'C', 'S', 'A', 'B', 'S', 'S', 'C']",3.6,No,0,No,7.3,3,5.56
23BAI10799,CSE AI/ML,B.Tech,4,86,7.19,8.02,2,"45, 25, 4, 5, 4","['B', 'B', 'F', 'B', 'A', 'B', 'A', 'S', 'A', 'E', 'C', 'C', 'C', 'F', 'A', 'B', 'S', 'A']",5.1,No,0,No,6.5,4,5.46
23BAI10800,CSE AI/ML,B.Tech,4,86,8.11,8.78,1,"15, 34, 45, 27, 45","['S', 'S', 'A', 'C', 'A', 'S', 'E', 'F', 'A', 'A', 'S', 'S', 'S', 'A', 'D', 'A', 'C', 'D']",4.6,No,0,No,6.8,4,7.64
23BAI10801,CSE AI/ML,B.Tech,4,73,7.57,8.46,0,"15, 32, 21, 26, 47","['D', 'E', 'C', 'C', 'B', 'B', 'B', 'B', 'B', 'S', 'N', 'S', 'S', 'S', 'S', 'S', 'A', 'B']",4.4,Yes,5,No,8.9,4,7.53
23BAI10802,CSE AI/ML,B.Tech,4,87,8.22,8.5,0,"35, 15, 33, 40, 10","['B', 'S', 'C', 'E', 'D', 'S', 'B', 'A', 'A', 'A', 'B', 'B', 'A', 'S', 'B', 'A', 'A', 'A']",3.4,Yes,2.6,No,8,3,7.84
23BAI10803,CSE AI/ML,B.Tech,4,73,8.5,9.43,0,"32, 21, 34, 32, 48","['B', 'B', 'B', 'A', 'S', 'S', 'B', 'S', 'C', 'A', 'B', 'A', 'B', 'B', 'S', 'B', 'N', 'C']",3.2,Yes,5.2,No,7.1,3,8.17
23BAI10804,CSE AI/ML,B.Tech,4,88,7.54,8.14,2,"40, 19, 36, 18, 39","['S', 'D', 'S', 'B', 'F', 'S', 'F', 'S', 'B', 'S', 'A', 'B', 'A', 'B', 'A', 'A', 'C', 'A']",4.1,No,0,No,6.8,5,6.28
23BAI10805,CSE AI/ML,B.Tech,4,82,8.72,9.62,1,"8, 4, 7, 44, 21","['B', 'S', 'S', 'S', 'B', 'A', 'S', 'B', 'S', 'A', 'B', 'A', 'A', 'D', 'C', 'B', 'F', 'C']",3.7,Yes,4.2,Yes,7.8,3,6.62
23BAI10806,CSE AI/ML,B.Tech,4,74,7.76,8.36,0,"3, 40, 27, 18, 32","['D', 'S', 'S', 'C', 'C', 'C', 'B', 'A', 'N', 'B', 'A', 'S', 'S', 'B', 'A', 'S', 'S', 'B']",3.4,Yes,3.9,No,7,3,7.26
23BAI10807,CSE AI/ML,B.Tech,4,95,8.85,9.48,0,"32, 12, 42, 26, 23","['A', 'S', 'S', 'S', 'S', 'S', 'A', 'D', 'A', 'C', 'A', 'C', 'A', 'S', 'B', 'B', 'B', 'A']",5.1,Yes,4.2,Yes,8.9,3,8.56
23BAI10808,CSE AI/ML,B.Tech,4,73,8.15,9.04,0,"41, 17, 7, 38, 44","['A', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'A', 'A', 'S', 'B', 'N', 'C', 'B', 'A', 'N']",3.7,Yes,6.8,Yes,9,5,7.53
23BAI10809,CSE AI/ML,B.Tech,4,65,7.26,7.68,1,"24, 10, 33, 3, 22","['F', 'C', 'A', 'B', 'A', 'A', 'E', 'S', 'D', 'A', 'C', 'S', 'D', 'B', 'B', 'N', 'A', 'S']",3.8,Yes,7.4,No,8,3,5.89
23BAI10810,CSE AI/ML,B.Tech,4,80,7.85,8.44,2,"30, 33, 26, 47, 9","['F', 'S', 'B', 'S', 'S', 'A', 'C', 'B', 'B', 'S', 'F', 'A', 'S', 'S', 'A', 'S', 'A', 'E']",4.8,No,0,No,8.1,5,6.3
23BAI10811,CSE AI/ML,B.Tech,4,73,8.11,9.08,0,"4, 11, 21, 43, 27","['S', 'S', 'E', 'A', 'S', 'E', 'A', 'A', 'A', 'B', 'B', 'B', 'S', 'N', 'A', 'C', 'A', 'S']",6,No,0,No,8.9,3,7.63
23BAI10812,CSE AI/ML,B.Tech,4,65,7.7,8.58,1,"25, 12, 25, 35, 45","['S', 'B', 'N', 'B', 'A', 'A', 'A', 'C', 'E', 'A', 'B', 'S', 'S', 'S', 'S', 'D', 'F', 'A']",5.6,No,0,No,8.1,3,7.1
23BAI10813,CSE AI/ML,B.Tech,4,82,6.98,7.29,3,"21, 36, 39, 5, 47","['S', 'A', 'C', 'F', 'B', 'B', 'C', 'A', 'S', 'E', 'E', 'B', 'F', 'S', 'A', 'F', 'B', 'A']",3.8,No,0,No,7.2,5,5.14
23BAI10814,CSE AI/ML,B.Tech,4,80,8.44,8.82,1,"9, 45, 3, 38, 3","['S', 'S', 'B', 'S', 'A', 'S', 'F', 'B', 'A', 'S', 'A', 'S', 'S', 'E', 'A', 'C', 'B', 'B']",3.2,No,0,No,7.3,3,6.56
23BAI10815,CSE AI/ML,B.Tech,4,72,7.04,7.32,0,"43, 32, 34, 21, 49","['A', 'B', 'N', 'A', 'N', 'A', 'A', 'C', 'D', 'C', 'A', 'A', 'B', 'A', 'A', 'S', 'B', 'C']",5.7,Yes,7.6,Yes,8.6,4,8.05
23BAI10816,CSE AI/ML,B.Tech,4,74,7.17,7.65,0,"12, 46, 50, 46, 35","['C', 'B', 'A', 'C', 'A', 'B', 'N', 'A', 'B', 'C', 'N', 'S', 'C', 'A', 'S', 'A', 'B', 'A']",3.9,No,0,No,7.7,4,7.98
23BAI10817,CSE AI/ML,B.Tech,4,71,7.59,7.79,0,"47, 6, 22, 46, 17","['A', 'N', 'A', 'B', 'B', 'A', 'B', 'C', 'C', 'C', 'A', 'B', 'A', 'A', 'B', 'S', 'A', 'S']",4.9,No,0,No,8.4,3,7.68
23BAI10818,CSE AI/ML,B.Tech,4,69,7.17,7.98,1,"43, 32, 9, 40, 43","['A', 'A', 'A', 'S', 'A', 'S', 'N', 'E', 'S', 'N', 'A', 'S', 'D', 'S', 'F', 'A', 'E', 'S']",5.9,Yes,7.7,No,8.6,4,7.21
23BAI10819,CSE AI/ML,B.Tech,4,71,8.54,8.84,1,"20, 32, 10, 23, 47","['A', 'A', 'A', 'S', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'N', 'B', 'A', 'C', 'A', 'F']",5.1,Yes,2.8,Yes,8.4,3,7.31
23BAI10820,CSE AI/ML,B.Tech,4,68,7.39,7.64,1,"9, 46, 7, 34, 18","['B', 'A', 'S', 'A', 'F', 'S', 'A', 'E', 'S', 'A', 'S', 'N', 'B', 'S', 'N', 'A', 'B', 'B']",3.5,Yes,2.3,Yes,8.8,4,6.11
23BAI10821,CSE AI/ML,B.Tech,4,84,8.56,9.46,0,"42, 28, 29, 41, 30","['A', 'B', 'A', 'B', 'S', 'A', 'A', 'A', 'D', 'S', 'C', 'A', 'A', 'B', 'A', 'E', 'A', 'E']",3.8,Yes,5.2,Yes,7.2,5,8.22
23BAI10822,CSE AI/ML,B.Tech,4,91,7.52,7.9,1,"35, 4, 43, 17, 41","['C', 'S', 'C', 'A', 'D', 'B', 'B', 'S', 'F', 'E', 'A', 'A', 'A', 'S', 'A', 'A', 'C', 'B']",3.6,No,0,No,8.4,5,6.75
23BAI10823,CSE AI/ML,B.Tech,4,83,7.65,7.87,1,"9, 22, 15, 34, 31","['A', 'D', 'F', 'B', 'A', 'S', 'S', 'A', 'A', 'B', 'A', 'B', 'D', 'B', 'D', 'E', 'E', 'S']",3.1,No,0,No,8.8,3,6.46
23BAI10824,CSE AI/ML,B.Tech,4,80,7.04,7.43,2,"6, 21, 12, 38, 14","['A', 'F', 'C', 'B', 'F', 'D', 'B', 'A', 'A', 'C', 'S', 'A', 'A', 'B', 'A', 'A', 'S', 'B']",4.6,No,0,No,7.2,5,5.16
23BAI10825,CSE AI/ML,B.Tech,4,67,7.06,7.34,1,"24, 29, 37, 42, 19","['F', 'B', 'S', 'S', 'D', 'B', 'B', 'N', 'C', 'B', 'C', 'A', 'A', 'B', 'S', 'A', 'S', 'A']",5.6,No,0,No,7.4,4,6.86
23BAI10826,CSE AI/ML,B.Tech,4,91,7.96,8.46,1,"8, 47, 50, 45, 16","['S', 'A', 'A', 'S', 'A', 'D', 'A', 'B', 'S', 'F', 'E', 'A', 'B', 'A', 'A', 'B', 'B', 'A']",6,Yes,5.4,Yes,6.6,5,7.7
23BAI10827,CSE AI/ML,B.Tech,4,66,8.31,8.55,0,"35, 46, 30, 40, 9","['S', 'S', 'A', 'E', 'A', 'S', 'B', 'A', 'A', 'A', 'S', 'E', 'S', 'A', 'N', 'C', 'C', 'A']",5.8,Yes,7.6,Yes,7,5,8.02
23BAI10828,CSE AI/ML,B.Tech,4,75,8.96,9.93,0,"13, 35, 5, 24, 15","['S', 'D', 'S', 'S', 'A', 'A', 'S', 'A', 'S', 'D', 'S', 'C', 'S', 'A', 'S', 'A', 'S', 'B']",4.9,Yes,4,Yes,7.8,4,7.49
23BAI10829,CSE AI/ML,B.Tech,4,65,7.48,8.42,1,"31, 8, 44, 41, 45","['E', 'N', 'S', 'A', 'B', 'S', 'A', 'F', 'A', 'A', 'S', 'S', 'S', 'A', 'C', 'A', 'C', 'C']",4.9,Yes,2.8,No,7.1,5,6.97
23BAI10830,CSE AI/ML,B.Tech,4,78,8.41,8.96,2,"30, 17, 26, 45, 28","['A', 'S', 'F', 'A', 'S', 'A', 'S', 'S', 'C', 'S', 'A', 'A', 'C', 'A', 'C', 'A', 'A', 'F']",3,No,0,No,8.7,3,6.47
23BAI10831,CSE AI/ML,B.Tech,4,94,8.69,9.46,0,"3, 28, 48, 33, 25","['B', 'A', 'B', 'A', 'S', 'C', 'A', 'A', 'B', 'B', 'S', 'A', 'B', 'S', 'A', 'S', 'B', 'E']",4.1,Yes,7.5,No,7.4,2,8.44
23BAI10832,CSE AI/ML,B.Tech,4,66,7.91,8.85,1,"34, 46, 3, 20, 19","['A', 'A', 'A', 'S', 'S', 'A', 'B', 'S', 'A', 'S', 'F', 'B', 'N', 'N', 'B', 'S', 'E', 'B']",5,Yes,2.6,Yes,8.9,4,6.68
23BAI10833,CSE AI/ML,B.Tech,4,71,7.13,8.05,0,"48, 46, 30, 3, 38","['S', 'N', 'B', 'B', 'B', 'B', 'C', 'A', 'N', 'S', 'E', 'A', 'A', 'A', 'S', 'B', 'C', 'A']",5.8,Yes,6.2,No,8.8,3,8.02
23BAI10834,CSE AI/ML,B.Tech,4,68,7,7.54,1,"7, 7, 4, 13, 37","['B', 'B', 'B', 'B', 'C', 'B', 'F', 'C', 'C', 'B', 'E', 'C', 'S', 'A', 'S', 'N', 'B', 'C']",5.9,No,0,No,7.6,5,5.52
23BAI10835,CSE AI/ML,B.Tech,4,70,8,8.98,1,"32, 34, 10, 4, 38","['S', 'S', 'A', 'A', 'A', 'B', 'S', 'A', 'B', 'A', 'F', 'N', 'S', 'A', 'C', 'B', 'B', 'B']",4.1,Yes,2.1,Yes,7.7,5,6.38
23BAI10836,CSE AI/ML,B.Tech,4,65,7.31,7.58,0,"41, 27, 21, 9, 42","['B', 'N', 'C', 'A', 'N', 'A', 'S', 'A', 'B', 'B', 'S', 'S', 'A', 'C', 'B', 'C', 'B', 'S']",3.1,Yes,2.2,Yes,6.7,3,7.15
23BAI10837,CSE AI/ML,B.Tech,4,69,6.96,7.18,1,"16, 6, 48, 35, 39","['F', 'A', 'S', 'B', 'A', 'N', 'S', 'A', 'C', 'B', 'N', 'B', 'S', 'B', 'S', 'B', 'B', 'A']",5.4,Yes,2.5,No,6.5,3,6.86
23BAI10838,CSE AI/ML,B.Tech,4,69,7.74,8.38,0,"45, 32, 49, 22, 16","['E', 'A', 'A', 'N', 'A', 'A', 'B', 'S', 'B', 'B', 'A', 'S', 'S', 'B', 'B', 'A', 'N', 'A']",4.6,Yes,4.4,No,7.7,5,7.72
23BAI10839,CSE AI/ML,B.Tech,4,68,8.09,8.65,1,"29, 15, 9, 20, 40","['S', 'S', 'S', 'B', 'S', 'B', 'A', 'C', 'N', 'S', 'C', 'B', 'S', 'A', 'B', 'F', 'S', 'A']",4,Yes,4.4,Yes,8.8,5,6.3
23BAI10840,CSE AI/ML,B.Tech,4,70,5.98,6.17,3,"41, 11, 25, 33, 4","['A', 'B', 'S', 'S', 'A', 'N', 'F', 'F', 'F', 'C', 'S', 'B', 'S', 'N', 'A', 'S', 'A', 'B']",4,Yes,6.7,Yes,7,4,4.28
23BAI10841,CSE AI/ML,B.Tech,4,67,8.56,8.84,0,"42, 40, 43, 41, 7","['A', 'A', 'E', 'S', 'A', 'S', 'S', 'B', 'S', 'B', 'C', 'B', 'A', 'A', 'S', 'A', 'N', 'N']",3.5,Yes,4.1,Yes,6.5,5,7.93
23BAI10842,CSE AI/ML,B.Tech,4,72,8.04,8.4,0,"25, 34, 41, 18, 13","['B', 'B', 'B', 'C', 'A', 'B', 'S', 'B', 'S', 'B', 'S', 'N', 'B', 'A', 'B', 'B', 'S', 'D']",4.3,Yes,5.6,No,7.9,5,7.36
23BAI10843,CSE AI/ML,B.Tech,4,70,7.15,7.78,0,"16, 5, 10, 17, 11","['S', 'A', 'C', 'A', 'A', 'N', 'C', 'A', 'B', 'N', 'B', 'B', 'C', 'A', 'B', 'A', 'A', 'A']",5.1,Yes,5.9,No,8.7,4,6.25
23BAI10844,CSE AI/ML,B.Tech,4,73,7.28,7.43,1,"18, 28, 34, 20, 10","['D', 'C', 'S', 'A', 'D', 'S', 'A', 'C', 'A', 'C', 'F', 'B', 'N', 'C', 'B', 'A', 'S', 'E']",3.4,Yes,6.3,No,8.3,4,6.07
23BAI10845,CSE AI/ML,B.Tech,4,73,6.69,6.97,0,"41, 34, 12, 14, 14","['S', 'A', 'B', 'B', 'N', 'B', 'A', 'N', 'B', 'E', 'D', 'C', 'B', 'A', 'A', 'S', 'N', 'B']",3.1,Yes,7.9,Yes,8.3,3,6.67
23BAI10846,CSE AI/ML,B.Tech,4,65,7.83,8.52,1,"12, 36, 32, 46, 33","['C', 'B', 'B', 'D', 'F', 'S', 'A', 'S', 'C', 'S', 'S', 'C', 'A', 'A', 'A', 'A', 'A', 'N']",4.9,No,0,No,6.6,4,7.15
